# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CCDC138	CCDC138	NM_001351545.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCDC138	CCDC138	NM_001351548.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCDC138	CCDC138	NM_001351549.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCDC138	CCDC138	NM_001351551.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCDC138	CCDC138	NM_001351553.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCDC138	CCDC138	NM_001351554.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCDC138	CCDC138	NM_001351555.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCDC138	CCDC138	NM_001351557.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCDC138	CCDC138	NM_001351559.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCDC138	CCDC138	NM_001351561.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCDC138	CCDC138	NM_001351565.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCDC138	CCDC138	NM_144978.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCDC138	CCDC138	NR_130121.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCDC138	CCDC138	NR_147236.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCDC138	CCDC138	NR_147237.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCDC138	CCDC138	NR_147238.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CDH1	CDH1	NM_001317184.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDH1	CDH1	NM_001317185.2	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
CDH1	CDH1	NM_001317186.2	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
CDH1	CDH1	NM_004360.5	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CTNNB1	CTNNB1	NM_001098209.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CTNNB1	CTNNB1	NM_001098210.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CTNNB1	CTNNB1	NM_001330729.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CTNNB1	CTNNB1	NM_001904.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DNAH1	DNAH1	NM_015512.5	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
EGFR	EGFR	NM_001346897.2	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
EGFR	EGFR	NM_001346898.2	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
EGFR	EGFR	NM_001346899.1	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
EGFR	EGFR	NM_001346900.2	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
EGFR	EGFR	NM_001346941.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
EGFR	EGFR	NM_005228.5	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
EGFR	EGFR	NM_201282.2	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
EGFR	EGFR	NM_201283.1	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
EGFR	EGFR	NM_201284.2	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ERBB4	ERBB4	NM_001042599.1	protein_coding	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0
ERBB4	ERBB4	NM_005235.3	protein_coding	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0
FANCA	FANCA	NM_000135.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FANCA	FANCA	NM_001286167.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FANCG	FANCG	NM_004629.1	protein_coding	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
FANCM	FANCM	NM_001308133.2	protein_coding	0	2	3	0	0	0	0	0	0	0	3	0	0	0	0	2	0
FANCM	FANCM	NM_020937.4	protein_coding	0	2	3	0	0	0	0	0	0	0	3	0	0	0	0	2	0
FBXO11	FBXO11	NM_001190274.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
FBXO11	FBXO11	NM_001374325.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
FBXO11	FBXO11	NM_025133.4	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
FBXW7	FBXW7	NM_001013415.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FBXW7	FBXW7	NM_001349798.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FBXW7	FBXW7	NM_018315.5	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FBXW7	FBXW7	NM_033632.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FGFR1	FGFR1	NM_001174063.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
FGFR1	FGFR1	NM_001174064.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
FGFR1	FGFR1	NM_001174065.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
FGFR1	FGFR1	NM_001174066.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
FGFR1	FGFR1	NM_001174067.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
FGFR1	FGFR1	NM_001354367.1	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
FGFR1	FGFR1	NM_001354368.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
FGFR1	FGFR1	NM_001354369.1	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
FGFR1	FGFR1	NM_001354370.1	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
FGFR1	FGFR1	NM_015850.4	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
FGFR1	FGFR1	NM_023105.3	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
FGFR1	FGFR1	NM_023106.3	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
FGFR1	FGFR1	NM_023110.3	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
FLT3	FLT3	NM_004119.3	protein_coding	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
FLT3	FLT3	NR_130706.2		0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0
GNAS	GNAS	NM_000516.6	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GNAS	GNAS	NM_001077488.4	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GNAS	GNAS	NM_001077489.4	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GNAS	GNAS	NM_001077490.2	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
GNAS	GNAS	NM_001309840.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GNAS	GNAS	NM_001309842.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
GNAS	GNAS	NM_001309861.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GNAS	GNAS	NM_001309883.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
GNAS	GNAS	NM_016592.4	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
GNAS	GNAS	NM_080425.3	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GNAS	GNAS	NM_080426.4	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GNAS	GNAS	NR_132272.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
GNAS	GNAS	NR_132273.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
GRIN2A	GRIN2A	NM_000833.5	protein_coding	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0
GRIN2A	GRIN2A	NM_001134407.3	protein_coding	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0
GRIN2A	GRIN2A	NM_001134408.2	protein_coding	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0
IDH1	IDH1	NM_001282386.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
IDH1	IDH1	NM_001282387.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
IDH1	IDH1	NM_005896.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
JAK1	JAK1	NM_001320923.1	protein_coding	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0
JAK1	JAK1	NM_001321852.2	protein_coding	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0
JAK1	JAK1	NM_001321853.2	protein_coding	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0
JAK1	JAK1	NM_001321854.2	protein_coding	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0
JAK1	JAK1	NM_001321855.2	protein_coding	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0
JAK1	JAK1	NM_001321856.1	protein_coding	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0
JAK1	JAK1	NM_001321857.2	protein_coding	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0
JAK1	JAK1	NM_002227.4	protein_coding	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0
KDM5C	KDM5C	NM_001146702.1	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
KDM5C	KDM5C	NM_001282622.2	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
KDM5C	KDM5C	NM_001353978.2	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
KDM5C	KDM5C	NM_001353979.2	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
KDM5C	KDM5C	NM_001353981.2	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
KDM5C	KDM5C	NM_001353982.2	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
KDM5C	KDM5C	NM_001353984.1	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
KDM5C	KDM5C	NM_004187.4	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
KDM5C	KDM5C	NR_148672.2		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
KDM5C	KDM5C	NR_148673.2		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
KDM5C	KDM5C	NR_148674.2		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
KDR	KDR	NM_002253.3	protein_coding	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
KMT2C	KMT2C	NM_170606.3	protein_coding	2	6	10	4	0	0	0	0	0	5	10	0	0	1	2	5	0
LETM2	LETM2	NM_001199659.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
LETM2	LETM2	NM_001199660.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
LETM2	LETM2	NM_001286787.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
LETM2	LETM2	NM_001286819.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
LETM2	LETM2	NM_001330515.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
LETM2	LETM2	NM_001363204.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
LETM2	LETM2	NM_001363205.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
LETM2	LETM2	NM_144652.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
LRP1B	LRP1B	NM_018557.3	protein_coding	2	3	9	2	0	0	0	0	2	2	9	0	0	1	0	3	0
LRRC14	LRRC14	NM_001272036.2	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
LRRC14	LRRC14	NM_014665.4	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
MET	MET	NM_000245.4	protein_coding	0	2	1	3	0	0	0	0	0	4	1	0	0	1	0	1	0
MET	MET	NM_001127500.3	protein_coding	0	2	1	3	0	0	0	0	0	4	1	0	0	1	0	1	0
MET	MET	NM_001324401.2	protein_coding	0	1	1	3	0	0	0	2	0	2	1	0	0	1	0	0	0
MET	MET	NM_001324402.2	protein_coding	0	2	0	4	0	0	0	0	0	5	0	0	0	1	0	1	0
MIR151A	MIR151A	NR_029892.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
MIR6894	MIR6894	NR_106954.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
MIS18BP1	MIS18BP1	NM_018353.5	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
MRPS18C	MRPS18C	NM_001297767.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
MRPS18C	MRPS18C	NM_001297769.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
MRPS18C	MRPS18C	NM_001297770.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
MRPS18C	MRPS18C	NM_016067.4	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
MSH3	MSH3	NM_002439.5	protein_coding	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0
MSH6	MSH6	NM_000179.2	protein_coding	0	1	4	0	0	0	0	0	0	0	4	0	0	0	0	1	0
MSH6	MSH6	NM_001281492.1	protein_coding	0	1	4	0	0	0	0	0	0	0	4	0	0	0	0	1	0
MSH6	MSH6	NM_001281493.1	protein_coding	0	1	4	0	0	0	0	0	0	0	4	0	0	0	0	1	0
MSH6	MSH6	NM_001281494.1	protein_coding	0	1	4	0	0	0	0	0	0	0	4	0	0	0	0	1	0
MTOR	MTOR	NM_004958.4	protein_coding	0	3	3	3	0	0	0	0	0	3	3	0	0	0	0	3	0
MTOR-AS1	MTOR-AS1	NR_046600.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
NEDD4	NEDD4	NM_001284338.1	protein_coding	0	0	1	3	0	0	0	0	0	3	1	0	0	0	0	0	0
NEDD4	NEDD4	NM_001284339.1	protein_coding	0	0	1	3	0	0	0	0	0	3	1	0	0	0	0	0	0
NEDD4	NEDD4	NM_001284340.1	protein_coding	0	0	1	3	0	0	0	0	0	3	1	0	0	0	0	0	0
NEDD4	NEDD4	NM_001329212.2	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
NEDD4	NEDD4	NM_006154.4	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
NEDD4	NEDD4	NM_198400.3	protein_coding	0	0	1	3	0	0	0	0	0	3	1	0	0	0	0	0	0
NEDD4	NEDD4	NR_104302.1		0	0	0	4	0	0	0	0	0	3	0	1	0	0	0	0	0
NPM1	NPM1	NM_001037738.3	protein_coding	0	0	1	3	0	0	0	0	0	3	1	0	0	1	0	0	0
NPM1	NPM1	NM_001355006.1	protein_coding	0	0	1	3	0	0	0	0	0	3	1	0	0	1	0	0	0
NPM1	NPM1	NM_001355007.1	protein_coding	0	0	1	3	0	0	0	0	0	3	1	0	0	1	0	0	0
NPM1	NPM1	NM_001355009.2	protein_coding	0	0	1	3	0	0	0	0	0	3	1	0	0	1	0	0	0
NPM1	NPM1	NM_001355010.1	protein_coding	0	0	1	3	0	0	0	0	0	3	1	0	0	1	0	0	0
NPM1	NPM1	NM_002520.6	protein_coding	0	0	1	3	0	0	0	0	0	3	1	0	0	1	0	0	0
NPM1	NPM1	NM_199185.3	protein_coding	0	0	1	3	0	0	0	0	0	3	1	0	0	1	0	0	0
NPM1	NPM1	NR_149149.1		0	1	0	3	0	0	0	0	0	3	0	1	0	1	0	0	0
NRADDP	NRADDP	NR_024046.1		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
NTAN1	NTAN1	NM_001270766.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
NTAN1	NTAN1	NM_001270767.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
NTAN1	NTAN1	NM_173474.4	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
PBRM1	PBRM1	NM_001350074.2	protein_coding	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0	4	0
PBRM1	PBRM1	NM_001350075.2	protein_coding	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0	4	0
PBRM1	PBRM1	NM_001350076.2	protein_coding	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0	4	0
PBRM1	PBRM1	NM_001350077.2	protein_coding	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0	4	0
PBRM1	PBRM1	NM_001350078.2	protein_coding	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0	4	0
PBRM1	PBRM1	NM_001350079.2	protein_coding	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0	4	0
PBRM1	PBRM1	NM_001366070.2	protein_coding	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0	4	0
PBRM1	PBRM1	NM_001366071.2	protein_coding	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0	4	0
PBRM1	PBRM1	NM_001366072.2	protein_coding	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0	4	0
PBRM1	PBRM1	NM_001366073.2	protein_coding	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0	4	0
PBRM1	PBRM1	NM_001366074.2	protein_coding	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0	4	0
PBRM1	PBRM1	NM_001366075.2	protein_coding	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0	4	0
PBRM1	PBRM1	NM_001366076.2	protein_coding	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0	4	0
