# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
APC	APC	NM_001354902.2	protein_coding	2	10	6	0	0	0	0	0	0	0	0	2	2	6	0	0	0	2	0	2	8	0
APC	APC	NM_001354903.2	protein_coding	2	10	6	0	0	0	0	0	0	0	0	2	2	6	0	0	0	2	0	2	8	0
APC	APC	NM_001354904.2	protein_coding	2	10	6	0	0	0	0	0	0	0	0	2	2	6	0	0	0	2	0	2	8	0
APC	APC	NM_001354905.2	protein_coding	2	10	6	0	0	0	0	0	0	0	0	2	2	6	0	0	0	2	0	2	8	0
APC	APC	NM_001354906.2	protein_coding	2	10	6	0	0	0	0	0	0	0	0	2	2	6	0	0	0	2	0	2	8	0
ARID1B	ARID1B	NM_001346813.1	protein_coding	2	2	7	5	0	0	0	2	2	0	0	2	5	3	0	0	0	0	0	1	2	0
ARID1B	ARID1B	NM_001363725.2	protein_coding	2	1	3	3	0	1	0	2	0	0	0	2	2	1	0	0	0	0	0	1	1	0
ARID1B	ARID1B	NM_001371656.1	protein_coding	2	2	7	5	0	0	0	2	2	0	0	2	5	3	0	0	0	0	0	1	2	0
ARID1B	ARID1B	NM_017519.2	protein_coding	2	2	7	5	0	0	0	2	2	0	0	2	5	3	0	0	0	0	0	1	2	0
ARID1B	ARID1B	NM_020732.3	protein_coding	2	2	7	5	0	0	0	2	2	0	0	2	5	3	0	0	0	0	0	1	2	0
ATM	ATM	NM_000051.3	protein_coding	0	1	1	6	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	1	0
ATM	ATM	NM_001351834.2	protein_coding	0	1	1	6	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	1	0
ATM	ATM	NM_001351835.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ATM	ATM	NM_001351836.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
B2M	B2M	NM_004048.3	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
BAP1	BAP1	NM_004656.4	protein_coding	0	0	1	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
BCOR	BCOR	NM_001123383.1	protein_coding	0	4	4	5	0	0	0	0	0	0	0	0	6	4	0	0	0	1	0	0	3	0
BCOR	BCOR	NM_001123384.2	protein_coding	0	4	4	5	0	0	0	0	0	0	0	0	6	4	0	0	0	1	0	0	3	0
BCOR	BCOR	NM_001123385.2	protein_coding	0	4	4	5	0	0	0	0	0	0	0	0	6	4	0	0	0	1	0	0	3	0
BCOR	BCOR	NM_017745.6	protein_coding	0	4	4	5	0	0	0	0	0	0	0	0	6	4	0	0	0	1	0	0	3	0
BCR	BCR	NM_004327.4	protein_coding	1	6	2	12	1	0	0	0	0	0	0	1	13	2	0	0	0	3	0	0	4	0
BCR	BCR	NM_021574.3	protein_coding	1	6	2	12	1	0	0	0	0	0	0	1	13	2	0	0	0	3	0	0	4	0
BLM	BLM	NM_000057.4	protein_coding	0	2	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0
BLM	BLM	NM_001287246.2	protein_coding	0	2	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0
BLM	BLM	NM_001287247.2	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0
BLM	BLM	NM_001287248.2	protein_coding	0	2	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0
BRAF	BRAF	NM_001354609.2	protein_coding	0	1	2	3	0	0	0	0	0	0	0	0	4	2	0	0	0	1	0	0	0	0
BRAF	BRAF	NM_001374244.1	protein_coding	0	1	2	3	0	0	0	0	0	0	0	0	4	2	0	0	0	1	0	0	0	0
BRAF	BRAF	NM_001374258.1	protein_coding	0	1	2	3	0	0	0	0	0	0	0	0	4	2	0	0	0	1	0	0	0	0
BRAF	BRAF	NM_004333.6	protein_coding	0	1	2	3	0	0	0	0	0	0	0	0	4	2	0	0	0	1	0	0	0	0
BRAF	BRAF	NR_148928.2		0	1	0	5	0	0	0	0	0	0	0	0	4	0	2	0	0	1	0	0	0	0
BRCA1	BRCA1	NM_007294.4	protein_coding	0	4	5	1	0	0	0	1	0	0	0	0	2	4	0	0	0	1	0	0	3	0
BRCA1	BRCA1	NM_007297.4	protein_coding	0	4	5	1	0	0	0	1	0	0	0	0	2	4	0	0	0	1	0	0	3	0
BRCA1	BRCA1	NM_007298.3	protein_coding	0	1	2	7	0	0	0	1	0	0	0	0	8	1	0	0	0	1	0	0	0	0
BRCA1	BRCA1	NM_007299.4	protein_coding	0	1	2	7	0	0	0	1	0	0	0	0	8	1	0	0	0	1	0	0	0	0
BRCA1	BRCA1	NM_007300.4	protein_coding	0	4	5	1	0	0	0	1	0	0	0	0	2	4	0	0	0	1	0	0	3	0
BRCA1	BRCA1	NR_027676.2		0	1	0	9	0	0	0	0	0	0	0	0	2	0	8	0	0	1	0	0	0	0
BRCA2	BRCA2	NM_000059.3	protein_coding	0	2	4	2	0	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	2	0
C11orf65	C11orf65	NM_001330368.2	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
C11orf65	C11orf65	NM_001351110.2	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
C11orf65	C11orf65	NR_147053.2		0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
C12orf43	C12orf43	NM_001286191.2	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
C12orf43	C12orf43	NM_001286192.2	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
C12orf43	C12orf43	NM_001286195.2	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
C12orf43	C12orf43	NM_001286196.2	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
C12orf43	C12orf43	NM_001286197.2	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
C12orf43	C12orf43	NM_001286198.2	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
C12orf43	C12orf43	NM_022895.3	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
C12orf43	C12orf43	NR_104409.2		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CDH1	CDH1	NM_001317184.2	protein_coding	0	4	3	3	0	1	0	0	0	0	0	0	3	3	0	0	0	1	0	0	3	0
CDH1	CDH1	NM_001317185.2	protein_coding	0	4	3	3	0	2	0	0	0	0	0	0	2	3	0	0	0	1	0	0	3	0
CDH1	CDH1	NM_001317186.2	protein_coding	0	4	2	4	0	1	0	0	0	0	0	0	4	2	0	0	0	1	0	0	3	0
CDH1	CDH1	NM_004360.5	protein_coding	0	4	3	3	0	1	0	0	0	0	0	0	3	3	0	0	0	1	0	0	3	0
CDKN1A	CDKN1A	NM_000389.5	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
CDKN1A	CDKN1A	NM_001220777.1	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
CDKN1A	CDKN1A	NM_001220778.1	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
CDKN1A	CDKN1A	NM_001291549.2	protein_coding	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
CDKN1A	CDKN1A	NM_078467.2	protein_coding	0	1	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
CHEK2	CHEK2	NM_001005735.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CHEK2	CHEK2	NM_001257387.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CHEK2	CHEK2	NM_001349956.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CHEK2	CHEK2	NM_007194.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CHEK2	CHEK2	NM_145862.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CRKL	CRKL	NM_005207.4	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CRKL	CRKL	NR_156180.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CSDE1	CSDE1	NM_001007553.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CSDE1	CSDE1	NM_001130523.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CSDE1	CSDE1	NM_001242891.1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CSDE1	CSDE1	NM_001242892.2	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CSDE1	CSDE1	NM_001242893.2	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CSDE1	CSDE1	NM_007158.6	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CSF1R	CSF1R	NM_001288705.2	protein_coding	0	1	1	14	1	0	0	0	0	0	0	0	13	1	0	0	0	0	0	0	1	0
CSF1R	CSF1R	NM_001349736.1	protein_coding	0	1	1	14	1	0	0	0	0	0	0	0	13	1	0	0	0	0	0	0	1	0
CSF1R	CSF1R	NM_005211.3	protein_coding	0	1	1	14	1	0	0	0	0	0	0	0	13	1	0	0	0	0	0	0	1	0
CSF1R	CSF1R	NR_109969.1		0	0	0	16	0	0	0	0	0	0	0	0	13	0	3	0	0	0	0	0	0	0
CTNNB1	CTNNB1	NM_001098209.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CTNNB1	CTNNB1	NM_001098210.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CTNNB1	CTNNB1	NM_001330729.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CTNNB1	CTNNB1	NM_001904.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
DHFR	DHFR	NM_000791.4	protein_coding	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DHFR	DHFR	NM_001290354.2	protein_coding	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DHFR	DHFR	NM_001290357.2	protein_coding	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DHFR	DHFR	NR_110936.2		0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1
DINOL	DINOL	NR_144384.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DNAH1	DNAH1	NM_015512.5	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EGFR	EGFR	NM_001346897.2	protein_coding	1	6	0	7	0	0	0	0	0	0	1	0	9	0	0	0	1	2	0	0	4	0
EGFR	EGFR	NM_001346898.2	protein_coding	1	7	0	6	0	0	0	0	0	0	1	0	8	0	0	0	1	2	0	0	5	0
EGFR	EGFR	NM_001346899.1	protein_coding	1	6	1	6	0	0	0	0	0	0	0	0	9	1	0	0	1	2	0	0	4	0
EGFR	EGFR	NM_001346900.2	protein_coding	1	7	1	5	0	0	0	0	0	0	0	0	8	1	0	0	1	2	0	0	5	0
EGFR	EGFR	NM_001346941.2	protein_coding	0	5	1	8	0	0	0	0	0	0	0	0	9	1	0	0	0	1	0	0	4	0
EGFR	EGFR	NM_005228.5	protein_coding	1	7	1	5	0	0	0	0	0	0	0	0	8	1	0	0	1	2	0	0	5	0
EGFR	EGFR	NM_201282.2	protein_coding	1	4	0	6	0	0	0	0	0	0	4	0	5	0	0	0	1	2	0	0	2	0
EGFR	EGFR	NM_201283.1	protein_coding	1	2	0	3	0	0	0	0	0	0	2	0	3	0	0	0	1	1	0	0	1	0
EGFR	EGFR	NM_201284.2	protein_coding	1	4	0	6	2	0	0	0	0	0	2	0	5	0	0	0	1	2	0	0	2	0
EGFR-AS1	EGFR-AS1	NR_047551.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ERBB4	ERBB4	NM_001042599.1	protein_coding	5	1	1	4	0	0	0	1	0	0	0	3	6	0	0	1	0	1	0	1	0	0
ERBB4	ERBB4	NM_005235.3	protein_coding	5	1	1	4	0	0	0	1	0	0	0	3	6	0	0	1	0	1	0	1	0	0
FABP5P3	FABP5P3	NR_002935.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FANCA	FANCA	NM_000135.4	protein_coding	0	2	2	11	0	0	0	0	0	0	0	0	13	2	0	0	0	2	0	0	0	0
FANCA	FANCA	NM_001018112.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FANCA	FANCA	NM_001286167.3	protein_coding	0	2	2	11	0	0	0	0	0	0	0	0	13	2	0	0	0	2	0	0	0	0
FANCA	FANCA	NM_001351830.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FANCB	FANCB	NM_001018113.3	protein_coding	0	0	1	4	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0
FANCB	FANCB	NM_001324162.1	protein_coding	0	0	1	4	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0
FANCB	FANCB	NM_152633.3	protein_coding	0	0	1	4	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0
FANCG	FANCG	NM_004629.1	protein_coding	0	2	3	2	0	0	0	0	0	0	0	0	3	3	0	0	0	1	0	0	1	0
FANCM	FANCM	NM_001308133.2	protein_coding	3	1	1	1	0	0	0	0	0	0	0	2	2	1	0	1	0	1	0	0	1	0
FANCM	FANCM	NM_001308134.1	protein_coding	1	1	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0
FANCM	FANCM	NM_020937.4	protein_coding	3	1	1	1	0	0	0	0	0	0	0	2	2	1	0	1	0	1	0	0	1	0
FBXO11	FBXO11	NM_001190274.2	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
FBXO11	FBXO11	NM_001374325.1	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
FBXO11	FBXO11	NM_025133.4	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
FBXW4P1	FBXW4P1	NR_033408.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FBXW7	FBXW7	NM_001013415.2	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
FBXW7	FBXW7	NM_001349798.2	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
FBXW7	FBXW7	NM_018315.5	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
FBXW7	FBXW7	NM_033632.3	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
FGFR1	FGFR1	NM_001174063.2	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
FGFR1	FGFR1	NM_001174064.2	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
FGFR1	FGFR1	NM_001174065.2	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
FGFR1	FGFR1	NM_001174066.2	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
FGFR1	FGFR1	NM_001174067.1	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
FGFR1	FGFR1	NM_001354367.1	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
FGFR1	FGFR1	NM_001354368.2	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
FGFR1	FGFR1	NM_001354369.1	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
FGFR1	FGFR1	NM_001354370.1	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
FGFR1	FGFR1	NM_015850.4	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
FGFR1	FGFR1	NM_023105.3	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
FGFR1	FGFR1	NM_023106.3	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
FGFR1	FGFR1	NM_023110.3	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
FGFR3	FGFR3	NM_000142.4	protein_coding	0	3	2	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	3	0
FGFR3	FGFR3	NM_001163213.1	protein_coding	0	3	2	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	3	0
FGFR3	FGFR3	NM_001354809.2	protein_coding	0	3	2	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	3	0
FGFR3	FGFR3	NM_001354810.2	protein_coding	0	3	2	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	3	0
FGFR3	FGFR3	NM_022965.3	protein_coding	0	2	1	4	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	2	0
FGFR3	FGFR3	NR_148971.2		0	0	0	7	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0
FLT3	FLT3	NM_004119.3	protein_coding	0	2	3	10	0	0	0	0	0	0	0	0	11	3	0	0	0	1	0	0	1	0
FLT3	FLT3	NR_130706.2		0	1	0	14	0	0	0	0	0	0	0	0	11	0	4	0	0	1	0	0	0	0
GNAS	GNAS	NM_000516.6	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GNAS	GNAS	NM_001077488.4	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GNAS	GNAS	NM_001077489.4	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GNAS	GNAS	NM_001077490.2	protein_coding	0	1	0	3	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
GNAS	GNAS	NM_001309840.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GNAS	GNAS	NM_001309842.2	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
GNAS	GNAS	NM_001309861.2	protein_coding	0	2	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	3
GNAS	GNAS	NM_001309883.1	protein_coding	0	1	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0
GNAS	GNAS	NM_016592.4	protein_coding	0	1	0	6	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
GNAS	GNAS	NM_080425.3	protein_coding	0	2	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0
GNAS	GNAS	NM_080426.4	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GNAS	GNAS	NR_132272.2		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
GNAS	GNAS	NR_132273.1		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
GNAS-AS1	GNAS-AS1	NR_002785.2		0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2
GPT	GPT	NM_005309.3	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
GRIN2A	GRIN2A	NM_000833.5	protein_coding	1	3	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	2	0
GRIN2A	GRIN2A	NM_001134407.3	protein_coding	1	3	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	2	0
GRIN2A	GRIN2A	NM_001134408.2	protein_coding	1	3	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	2	0
HMGXB3	HMGXB3	NM_001366501.2	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
HMGXB3	HMGXB3	NM_014983.3	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
HNF1A	HNF1A	NM_000545.6	protein_coding	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0
HNF1A	HNF1A	NM_001306179.2	protein_coding	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0
HRAS	HRAS	NM_001130442.2	protein_coding	0	1	2	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0
HRAS	HRAS	NM_001318054.2	protein_coding	0	2	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
HRAS	HRAS	NM_005343.4	protein_coding	0	1	2	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0
HRAS	HRAS	NM_176795.4	protein_coding	0	1	2	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0
IDH1	IDH1	NM_001282386.1	protein_coding	0	0	1	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
